"","x"
"study","Studiennummer"
"version","GESIS Archiv Version"
"year","Erhebungsjahr"
"field","Erhebungszeitraum"
"glescomp","GLES-Komponente"
"survey","Erhebung/Welle"
"lfdn","Laufende Nummer"
"match_id","Identifikationsnummer des Probanden"
"ort","Standort"
"bedingung","Versuchsbedingung"
"teil1","Teilnahme W1"
"teil2","Teilnahme W2"
"teil3","Teilnahme W3"
"teil4","Teilnahme W4"
"teil1234","Teilnahme W1-4"
"teil123","Teilnahme W1-3"
"teil12","Teilnahme W1 und W2"
"a1","Politisches Interesse"
"a2","Interesse Bundestagswahlkampf"
"a3","Wahlbeteiligungsabsicht"
"a4a_v1","Wahlabsicht (Version A)"
"a4b_v1","Wahlabsicht (Version B)"
"a4a_v2","Wahlabsicht Brief (Version A)"
"a4b_v2","Wahlabsicht Brief (Version B)"
"a5","Sicherheit Wahlabsicht"
"a6","Eigene wirtschaftliche Lage: retrospektiv"
"a7","Verantwortung Bundesregierung: Entwicklung eigene wirtschaftliche Lage"
"a8","Eigene wirtschaftliche Lage: aktuell"
"a9","Eigene wirtschaftliche Lage: prospektiv"
"a10","Allgemeine wirtschaftliche Lage: retrospektiv"
"a11","Verantwortung Bundesregierung: Entwicklung allgemeine wirtschaftliche Lage"
"a12","Allgemeine wirtschaftliche Lage: aktuell"
"a13","Allgemeine wirtschaftliche Lage: prospektiv"
"a14","EU wirtschaftliche Lage: retrospektiv"
"a15","Verantwortung Bundesregierung: Entwicklung EU wirtschaftliche Lage"
"a16","EU wirtschaftliche Lage: aktuell"
"a17","EU wirtschaftliche Lage: prospektiv"
"a18s","Wissen: Arbeitslosenzahl "
"a18_v1","Wissen: Arbeitslosenzahl richtig/falsch"
"a19","Wissen: Entwicklung Arbeitslosigkeit"
"a20","Wissen: SPD Mindestlohn"
"a21s","Wissen: Erwerbstaetige "
"a21_v1","Wissen: Erwerbstaetige richtig/falsch"
"a22s","Wissen: Neuverschuldung "
"a22_v1","Wissen: Neuverschuldung richtig/falsch"
"a23","Wissen: Zweitstimme"
"a24s","Wissen: 5% Huerde "
"a24_v1","Wissen: 5 Prozent Huerde richtig/falsch"
"a25a","Sympathieskalometer: CDU"
"a25b","Sympathieskalometer: CSU"
